seed,position,intensity,initial_ovr,peak_ovr,final_ovr,ovr_ceiling,seasons_played,retired_age,career_goals,career_matches,league_titles,poty_wins,best_season_avg_output,sporting_rep,club_fan_rep,rival_crystallised,marketability,discipline_rep,career_output_sum,decisive_moments,clubs_served,longest_club_tenure,winning,accolades,output,longevity,decisive,loyalty,icon,head_to_head,score_Trophy Cabinet,score_Eye-Test Romantics,score_Stats Purists,score_Loyalty Traditionalists
700139,Forward,Low,64,81,78,92,20,39,152,559,5,0,41,50,70,False,50,50,9350,0,1,20,100,25,28,100,0,100,50,50,56,34,52,72
700148,Forward,Medium,64,87,85,93,20,39,178,556,2,0,40,50,70,False,50,50,9035,0,1,20,40,10,28,100,0,100,50,50,33,25,44,62
700149,Forward,High,64,91,90,94,20,39,177,556,1,0,40,50,70,False,50,50,8947,0,1,20,20,5,28,100,0,100,50,50,25,22,41,58
700150,Midfielder,Low,64,81,78,94,20,39,32,558,2,0,40,50,70,False,50,50,8924,0,1,20,40,10,27,100,0,100,50,50,33,25,43,62
700151,Midfielder,Medium,64,88,86,95,20,39,25,558,2,0,40,50,70,False,50,50,8708,0,1,20,40,10,27,100,0,100,50,50,33,25,43,62
700144,Midfielder,High,64,89,88,93,20,39,25,555,2,0,40,50,70,False,50,50,8769,0,1,20,40,10,27,100,0,100,50,50,33,25,43,62
700145,Defender,Low,64,81,77,94,20,39,44,556,1,0,40,50,70,False,50,50,8668,0,1,20,20,5,27,100,0,100,50,50,25,22,41,58
700146,Defender,Medium,64,86,81,93,20,39,55,554,1,0,41,50,70,False,50,50,8752,0,1,20,20,5,28,100,0,100,50,50,25,22,41,58
700147,Defender,High,64,89,87,94,20,39,62,556,1,0,41,50,70,False,50,50,8976,0,1,20,20,5,28,100,0,100,50,50,25,22,41,58
700156,Forward,Low,62,81,79,91,20,39,149,536,2,0,39,50,70,False,50,50,7720,0,1,20,40,10,26,100,0,100,50,50,33,24,43,62
700157,Forward,Medium,64,86,85,93,20,39,166,537,2,0,39,50,70,False,50,50,7685,0,1,20,40,10,26,100,0,100,50,50,33,24,43,62
700158,Forward,High,63,90,89,93,20,39,159,544,1,0,40,50,70,False,50,50,8119,0,1,20,20,5,27,100,0,100,50,50,25,22,41,58
700159,Midfielder,Low,64,81,78,93,20,39,29,545,3,0,40,50,70,False,50,50,8054,0,1,20,60,15,27,100,0,100,50,50,40,28,46,65
700152,Midfielder,Medium,64,86,83,93,20,39,23,545,1,0,40,50,70,False,50,50,8373,0,1,20,20,5,27,100,0,100,50,50,25,22,41,58
700153,Midfielder,High,64,91,89,95,20,39,31,546,3,0,40,50,70,False,50,50,8295,0,1,20,60,15,27,100,0,100,50,50,40,28,46,65
700154,Defender,Low,64,83,77,96,20,39,37,552,3,0,40,50,70,False,50,50,8465,0,1,20,60,15,27,100,0,100,50,50,40,28,46,65
700155,Defender,Medium,64,85,82,92,20,39,45,552,5,0,40,50,70,False,50,50,8285,0,1,20,100,25,27,100,0,100,50,50,56,34,52,72
700036,Defender,High,64,89,86,93,20,39,65,571,2,0,52,50,70,False,50,50,14890,0,1,20,40,10,39,100,0,100,50,50,34,26,48,63
700037,Forward,Low,64,81,79,92,20,39,157,573,3,0,52,50,70,False,50,50,14808,0,1,20,60,15,38,100,0,100,50,50,42,29,50,66
700038,Forward,Medium,64,87,85,93,20,39,169,570,1,0,51,50,70,False,50,50,14145,0,1,20,20,5,37,100,0,100,50,50,26,23,45,59
700039,Forward,High,64,90,88,93,20,39,183,570,2,0,51,50,70,False,50,50,14096,0,1,20,40,10,37,100,0,100,50,50,34,26,47,63
700032,Midfielder,Low,64,81,79,93,20,39,27,568,2,0,50,50,70,False,50,50,12843,0,1,20,40,10,36,100,0,100,50,50,34,26,47,63
700033,Midfielder,Medium,64,87,84,94,20,39,17,567,6,0,49,50,70,False,50,50,12340,0,1,20,100,30,35,100,0,100,50,50,58,36,56,74
700034,Midfielder,High,64,93,91,96,20,39,29,574,4,0,49,50,70,False,50,50,14514,0,1,20,80,20,37,100,0,100,50,50,49,32,53,70
700035,Defender,Low,64,81,75,94,20,39,51,574,3,0,49,50,70,False,50,50,14120,0,1,20,60,15,36,100,0,100,50,50,41,29,50,66
700044,Defender,Medium,64,87,83,95,20,39,58,576,0,0,51,50,70,False,50,50,16786,0,1,20,0,0,40,100,0,100,50,50,19,21,43,56
700045,Defender,High,64,89,87,93,20,39,76,577,2,0,51,50,70,False,50,50,16976,0,1,20,40,10,40,100,0,100,50,50,34,27,49,63
